date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:54:22	92068/92068	---M--	200	added ('OK')	application/pdf	etag:%22167a4-477a31ff6e6c7%22	https://www.newmystics.com/documents/YukoOtomo-Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/YukoOtomo-Poems.pdf	(from https://www.newmystics.com/lit/YukoOtomo.html)
04:54:23	143513/143513	---M--	200	added ('OK')	application/pdf	etag:%2223099-477a32005176c%22	https://www.newmystics.com/documents/YukoOtomo-Sunday_Afternoon_on_Isle_of_Museum.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/YukoOtomo-Sunday_Afternoon_on_Isle_of_Museum.pdf	(from https://www.newmystics.com/lit/YukoOtomo.html)
04:54:23	37037/37037	---M--	200	added ('OK')	image/jpeg	etag:%2290ad-50efb1bde713d%22	https://www.newmystics.com/images/ScottThomasOutlar.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/ScottThomasOutlar.jpg	(from https://www.newmystics.com/lit/ScottThomasOutlar.html)
04:54:23	63024/63024	---M--	200	added ('OK')	application/pdf	etag:%22f630-50efb1b264714%22	https://www.newmystics.com/documents/ScottThomasOutlar-Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/ScottThomasOutlar-Poems.pdf	(from https://www.newmystics.com/lit/ScottThomasOutlar.html)
04:54:23	489565/489565	---M--	200	added ('OK')	application/pdf	etag:%227785d-477a31cdbdb9f%22	https://www.newmystics.com/documents/NickPendleton-Trees1.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/NickPendleton-Trees1.pdf	(from https://www.newmystics.com/lit/NickPendleton.html)
04:54:24	599277/599277	---M--	200	added ('OK')	application/pdf	etag:%22924ed-477a31d0164a2%22	https://www.newmystics.com/documents/NickPendleton-Trees2.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/NickPendleton-Trees2.pdf	(from https://www.newmystics.com/lit/NickPendleton.html)
04:54:24	465728/465728	---M--	200	added ('OK')	application/pdf	etag:%2271b40-477a31d31558a%22	https://www.newmystics.com/documents/NickPendleton-Trees3.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/NickPendleton-Trees3.pdf	(from https://www.newmystics.com/lit/NickPendleton.html)
04:54:24	73187/73187	---M--	200	added ('OK')	application/pdf	etag:%2211de3-4c3f2566f1fc1%22	https://www.newmystics.com/documents/CalvinPennix-Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/CalvinPennix-Poems.pdf	(from https://www.newmystics.com/lit/CalvinPennix.html)
04:54:25	125992/125992	---M--	200	added ('OK')	image/jpeg	etag:%221ec28-5fddd3b042b10%22	https://www.newmystics.com/images/DevenPhilbrick_300w.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/images/DevenPhilbrick_300w.jpg	(from https://www.newmystics.com/lit/DevenPhilbrick.html)
04:54:25	526262/526262	---M--	200	added ('OK')	application/pdf	etag:%22807b6-6012d1f9b7842%22	https://www.newmystics.com/documents/DevenPhilbrick-Four_More_Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/DevenPhilbrick-Four_More_Poems.pdf	(from https://www.newmystics.com/lit/DevenPhilbrick.html)
04:54:25	532402/532402	---M--	200	added ('OK')	application/pdf	etag:%2281fb2-5fddd401cb4d2%22	https://www.newmystics.com/documents/DevenPhilbrick-4Poems.pdf	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/DevenPhilbrick-4Poems.pdf	(from https://www.newmystics.com/lit/DevenPhilbrick.html)
04:54:25	563257/563257	---M--	200	added ('OK')	image/jpeg	etag:%2289839-477a31dfcb206%22	https://www.newmystics.com/documents/RobertPomerhn-ArtaudsAgony.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/RobertPomerhn-ArtaudsAgony.jpg	(from https://www.newmystics.com/lit/RobertPomerhn.html)
04:54:25	259176/259176	---M--	200	added ('OK')	image/jpeg	etag:%223f468-477a31e11958a%22	https://www.newmystics.com/documents/RobertPomerhn-GilligansIsle.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/RobertPomerhn-GilligansIsle.jpg	(from https://www.newmystics.com/lit/RobertPomerhn.html)
04:54:26	246985/246985	---M--	200	added ('OK')	image/jpeg	etag:%223c4c9-477a31e2403fc%22	https://www.newmystics.com/documents/RobertPomerhn-HouseOfSevenGables.jpg	C:/My%20Web%20Sites/New%20Mystics/www.newmystics.com/documents/RobertPomerhn-HouseOfSevenGables.jpg	(from https://www.newmystics.com/lit/RobertPomerhn.html)
